,precision,recall,f1-score,support
1.1 threats of harm,0.0,0.0,0.0,9.0
1.2 incitement and encouragement of harm,0.375,0.375,0.375,56.0
2.1 descriptive attacks,0.38285714285714284,0.48201438848920863,0.4267515923566879,139.0
2.2 aggressive and emotive attacks,0.4369747899159664,0.36879432624113473,0.39999999999999997,141.0
2.3 dehumanising attacks & overt sexual objectification,0.2571428571428571,0.21951219512195122,0.2368421052631579,41.0
"3.1 casual use of gendered slurs, profanities, and insults",0.46258503401360546,0.53125,0.4945454545454545,128.0
3.2 immutable gender differences and gender stereotypes,0.28169014084507044,0.2597402597402597,0.2702702702702703,77.0
3.3 backhanded gendered compliments,0.0,0.0,0.0,15.0
3.4 condescending explanations or unwelcome advice,0.0,0.0,0.0,10.0
4.1 supporting mistreatment of individual women,0.1111111111111111,0.15384615384615385,0.12903225806451615,13.0
4.2 supporting systemic discrimination against women as a group,0.16666666666666666,0.13725490196078433,0.15053763440860216,51.0
accuracy,0.36176470588235293,0.36176470588235293,0.36176470588235293,0.36176470588235293
macro avg,0.22491161295931092,0.22976474776359018,0.22572539226442626,680.0
weighted avg,0.3488513456197171,0.36176470588235293,0.35278891964069925,680.0
