,precision,recall,f1-score,support
0,0.0,0.0,0.0,9.0
1,0.47058823529411764,0.2857142857142857,0.35555555555555557,56.0
2,0.41203703703703703,0.6402877697841727,0.5014084507042254,139.0
3,0.4496124031007752,0.41134751773049644,0.42962962962962964,141.0
4,0.4,0.1951219512195122,0.26229508196721313,41.0
5,0.43258426966292135,0.6015625,0.503267973856209,128.0
6,0.38095238095238093,0.3116883116883117,0.34285714285714286,77.0
7,0.0,0.0,0.0,15.0
8,0.0,0.0,0.0,10.0
9,0.2857142857142857,0.15384615384615385,0.2,13.0
10,0.28,0.13725490196078433,0.1842105263157895,51.0
accuracy,0.41323529411764703,0.41323529411764703,0.41323529411764703,0.41323529411764703
macro avg,0.28286260106922895,0.24880212654033784,0.25265676008052407,680.0
weighted avg,0.3913527113622074,0.41323529411764703,0.3878702932251941,680.0
